sample	unit	lib	platform	fq1	fq2
POIC0917	BHVYLHDSX3.1	UDP0322	ILLUMINA	../data/fastq_raw/P27468_134_S34_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_134_S34_L001_R2_001.fastq.gz
POIC0918	BHVYLHDSX3.1	UDP0323	ILLUMINA	../data/fastq_raw/P27468_135_S35_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_135_S35_L001_R2_001.fastq.gz
POIC0919	BHVYLHDSX3.1	UDP0324	ILLUMINA	../data/fastq_raw/P27468_136_S36_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_136_S36_L001_R2_001.fastq.gz
POIC0920	BHVYLHDSX3.1	UDP0325	ILLUMINA	../data/fastq_raw/P27468_137_S37_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_137_S37_L001_R2_001.fastq.gz
POIC0921	BHVYLHDSX3.1	UDP0326	ILLUMINA	../data/fastq_raw/P27468_138_S38_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_138_S38_L001_R2_001.fastq.gz
POIC0922	BHVYLHDSX3.1	UDP0327	ILLUMINA	../data/fastq_raw/P27468_139_S39_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_139_S39_L001_R2_001.fastq.gz
POIC0923	BHVYLHDSX3.1	UDP0328	ILLUMINA	../data/fastq_raw/P27468_140_S40_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_140_S40_L001_R2_001.fastq.gz
POIC0924	BHVYLHDSX3.1	UDP0329	ILLUMINA	../data/fastq_raw/P27468_141_S41_L001_R1_001.fastq.gz	../data/fastq_raw/P27468_141_S41_L001_R2_001.fastq.gz
MZLU152751	BHK3LNDSX7.4	208188	ILLUMINA	../data/fastq_raw/P29362_1017_S70_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1017_S70_L004_R2_001.fastq.gz
MZLU152755	BHK3LNDSX7.4	011099	ILLUMINA	../data/fastq_raw/P29362_1018_S71_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1018_S71_L004_R2_001.fastq.gz
MZLU152752	BHK3LNDSX7.4	014102	ILLUMINA	../data/fastq_raw/P29362_1019_S72_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1019_S72_L004_R2_001.fastq.gz
MZLU152754	BHK3LNDSX7.4	016104	ILLUMINA	../data/fastq_raw/P29362_1020_S73_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1020_S73_L004_R2_001.fastq.gz
MZLU153211	BHK3LNDSX7.4	020108	ILLUMINA	../data/fastq_raw/P29362_1021_S74_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1021_S74_L004_R2_001.fastq.gz
