sample	unit	lib	platform	fq1	fq2	bam
PI201	AHVF57DSXY.4	UD280	ILLUMINA	../data/fastq_raw/P19606_120_S85_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_120_S85_L004_R2_001.fastq.gz	results/mapping/bams/PI201.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI202	AHVF57DSXY.4	UD281	ILLUMINA	../data/fastq_raw/P19606_121_S86_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_121_S86_L004_R2_001.fastq.gz	results/mapping/bams/PI202.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI203	AHVF57DSXY.4	UD282	ILLUMINA	../data/fastq_raw/P19606_122_S87_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_122_S87_L004_R2_001.fastq.gz	results/mapping/bams/PI203.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI204	AHVF57DSXY.4	UD283	ILLUMINA	../data/fastq_raw/P19606_123_S88_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_123_S88_L004_R2_001.fastq.gz	results/mapping/bams/PI204.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI205	AHVF57DSXY.4	UD284	ILLUMINA	../data/fastq_raw/P19606_124_S89_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_124_S89_L004_R2_001.fastq.gz	results/mapping/bams/PI205.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI206	AHVF57DSXY.4	UD285	ILLUMINA	../data/fastq_raw/P19606_125_S90_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_125_S90_L004_R2_001.fastq.gz	results/mapping/bams/PI206.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI207	AHVF57DSXY.4	UD286	ILLUMINA	../data/fastq_raw/P19606_126_S91_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_126_S91_L004_R2_001.fastq.gz	results/mapping/bams/PI207.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI208	AHVF57DSXY.4	UD287	ILLUMINA	../data/fastq_raw/P19606_127_S92_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_127_S92_L004_R2_001.fastq.gz	results/mapping/bams/PI208.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI413	AHW3HFDSXY.2	UD250	ILLUMINA	../data/fastq_raw/P19606_329_S20_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_329_S20_L002_R2_001.fastq.gz	results/mapping/bams/PI413.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI414	AHW3HFDSXY.2	UD251	ILLUMINA	../data/fastq_raw/P19606_330_S21_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_330_S21_L002_R2_001.fastq.gz	results/mapping/bams/PI414.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI415	AHW3HFDSXY.2	UD252	ILLUMINA	../data/fastq_raw/P19606_331_S22_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_331_S22_L002_R2_001.fastq.gz	results/mapping/bams/PI415.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI417	AHW3HFDSXY.2	UD253	ILLUMINA	../data/fastq_raw/P19606_332_S23_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_332_S23_L002_R2_001.fastq.gz	results/mapping/bams/PI417.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI418	AHW3HFDSXY.2	UD254	ILLUMINA	../data/fastq_raw/P19606_333_S24_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_333_S24_L002_R2_001.fastq.gz	results/mapping/bams/PI418.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI419	AHW3HFDSXY.2	UD255	ILLUMINA	../data/fastq_raw/P19606_334_S25_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_334_S25_L002_R2_001.fastq.gz	results/mapping/bams/PI419.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI420	AHW3HFDSXY.2	UD256	ILLUMINA	../data/fastq_raw/P19606_335_S26_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_335_S26_L002_R2_001.fastq.gz	results/mapping/bams/PI420.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI421	AHW3HFDSXY.2	UD257	ILLUMINA	../data/fastq_raw/P19606_336_S27_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_336_S27_L002_R2_001.fastq.gz	results/mapping/bams/PI421.ilPolIcar1.1.vg.paired.rmdup.clip.bam
PI422	AHW3HFDSXY.2	UD258	ILLUMINA	../data/fastq_raw/P19606_337_S28_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_337_S28_L002_R2_001.fastq.gz	results/mapping/bams/PI422.ilPolIcar1.1.vg.paired.rmdup.clip.bam
MZLULEP4538	AH5L5TDSX2.2	001089	ILLUMINA	../data/fastq_raw/P21013_1001_S8_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1001_S8_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP4538.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3661	AH5L5TDSX2.2	002090	ILLUMINA	../data/fastq_raw/P21013_1002_S9_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1002_S9_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3661.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3679	AH5L5TDSX2.2	003091	ILLUMINA	../data/fastq_raw/P21013_1003_S10_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1003_S10_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3679.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3088	AH5L5TDSX2.2	008096	ILLUMINA	../data/fastq_raw/P21013_1005_S12_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1005_S12_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3088.ilPolIcar1.1.vg.merged.rmdup.bam
